TickerName,Date,Estimate,Reported,SurpriseP,Group
CHE,2020-10-29,3.99,4.86,21.8,Beat
CDW,2020-11-02,1.5,1.83,22,Beat
TFX,2020-10-29,2.27,2.77,22,Beat
DOV,2020-10-20,1.31,1.6,22.1,Beat
ST,2020-10-27,0.54,0.66,22.2,Beat
RS,2020-10-22,1.53,1.87,22.2,Beat
KO,2020-10-22,0.45,0.55,22.2,Beat
SEE,2020-10-28,0.67,0.82,22.3,Beat
UPS,2020-10-28,1.86,2.28,22.5,Beat
GDDY,2020-11-04,0.31,0.38,22.5,Beat
CCK,2020-10-19,1.6,1.96,22.5,Beat
MCO,2020-10-29,2.19,2.69,22.8,Beat
NTNX,2020-11-23,-0.57,-0.44,22.8,Beat
CAG,2020-10-01,0.57,0.7,22.8,Beat
TTC,2020-12-16,0.52,0.64,23,Beat
SLB,2020-10-16,0.13,0.16,23,Beat
STNE,2020-10-29,0.13,0.16,23,Beat
NLY,2020-10-28,0.26,0.32,23,Beat
VRT,2020-11-04,0.26,0.32,23,Beat
ZTS,2020-11-05,0.89,1.1,23.6,Beat
HLF,2020-11-05,0.93,1.15,23.6,Beat
ACHC,2020-10-29,0.55,0.68,23.6,Beat
NKTR,2020-11-05,-0.8,-0.61,23.7,Beat
BRO,2020-10-26,0.42,0.52,23.8,Beat
CVS,2020-11-06,1.34,1.66,23.8,Beat
HAE,2020-11-04,0.5,0.62,24,Beat
AVY,2020-10-21,1.54,1.91,24,Beat
MCK,2020-11-03,3.87,4.8,24,Beat
HFC,2020-11-05,-0.54,-0.41,24,Beat
AFL,2020-10-27,1.12,1.39,24.1,Beat
MXIM,2020-10-27,0.58,0.72,24.1,Beat
TKR,2020-10-29,0.91,1.13,24.1,Beat
JPM,2020-10-13,2.35,2.92,24.2,Beat
KEX,2020-10-29,0.37,0.46,24.3,Beat
AOS,2020-10-29,0.53,0.66,24.5,Beat
URI,2020-10-28,4.33,5.4,24.7,Beat
PAYC,2020-11-04,0.56,0.7,25,Beat
APH,2020-10-21,0.44,0.55,25,Beat
ENPH,2020-10-27,0.24,0.3,25,Beat
AZO,2020-09-22,24.74,30.93,25,Beat
SWCH,2020-11-05,0.04,0.05,25,Beat
ALXN,2020-10-29,2.59,3.24,25.1,Beat
MLM,2020-10-29,3.76,4.71,25.2,Beat
ASH,2020-11-10,0.79,0.99,25.3,Beat
ARW,2020-10-29,1.66,2.08,25.3,Beat
ADM,2020-10-29,0.71,0.89,25.3,Beat
J,2020-11-24,1.3,1.63,25.3,Beat
KNX,2020-10-21,0.63,0.79,25.4,Beat
TECH,2020-11-05,1.14,1.43,25.4,Beat
DHR,2020-10-22,1.37,1.72,25.5,Beat
TOL,2020-12-07,1.23,1.55,26,Beat
