TickerName,Date,Estimate,Reported,SurpriseP,Group
CHE,2020-10-29,3.99,4.86,21.8,Beat
CFR,2020-10-29,1.19,1.5,26,Beat
AZEK,2020-12-03,0.23,0.29,26,Beat
MS,2020-10-15,1.26,1.59,26.1,Beat
PWR,2020-10-29,1.11,1.4,26.1,Beat
QDEL,2020-10-29,4.58,5.78,26.2,Beat
ITW,2020-10-23,1.45,1.83,26.2,Beat
ASB,2020-10-22,0.19,0.24,26.3,Beat
BHF,2020-11-05,3.31,4.19,26.5,Beat
POOL,2020-10-22,2.14,2.71,26.6,Beat
DTE,2020-10-27,2.06,2.61,26.7,Beat
BRKR,2020-11-02,0.33,0.42,27.2,Beat
DHI,2020-11-10,1.76,2.24,27.2,Beat
OSK,2020-10-29,1.02,1.3,27.4,Beat
CMCSA,2020-10-29,0.51,0.65,27.4,Beat
MANH,2020-10-22,0.4,0.51,27.5,Beat
VVV,2020-10-28,0.36,0.46,27.7,Beat
YUM,2020-10-29,0.79,1.01,27.8,Beat
CHTR,2020-10-30,3.05,3.9,27.8,Beat
HUN,2020-10-29,0.25,0.32,28,Beat
CHNG,2020-11-04,0.25,0.32,28,Beat
CR,2020-10-26,0.82,1.05,28,Beat
BERY,2020-11-19,1.24,1.59,28.2,Beat
WDAY,2020-11-19,0.67,0.86,28.3,Beat
TT,2020-10-28,1.34,1.72,28.3,Beat
DISH,2020-11-06,0.67,0.86,28.3,Beat
COG,2020-10-29,0.07,0.09,28.5,Beat
CTAS,2020-09-23,2.16,2.78,28.7,Beat
OC,2020-10-28,1.32,1.7,28.7,Beat
TMO,2020-10-21,4.37,5.63,28.8,Beat
LUMN,2020-11-04,0.31,0.4,29,Beat
IR,2020-11-02,0.31,0.4,29,Beat
EXAS,2020-10-27,-0.51,-0.36,29.4,Beat
CRL,2020-10-29,1.8,2.33,29.4,Beat
RMD,2020-10-29,0.98,1.27,29.5,Beat
MTG,2020-11-04,0.33,0.43,30.3,Beat
HII,2020-11-05,4.18,5.45,30.3,Beat
WLK,2020-11-03,0.46,0.6,30.4,Beat
AIG,2020-11-05,0.62,0.81,30.6,Beat
WAL,2020-10-22,1.04,1.36,30.7,Beat
PII,2020-10-27,2.18,2.85,30.7,Beat
COMM,2020-11-05,0.39,0.51,30.7,Beat
MDT,2020-11-24,0.78,1.02,30.7,Beat
RJF,2020-10-28,1.36,1.78,30.8,Beat
CNC,2020-10-27,0.96,1.26,31.2,Beat
MIDD,2020-11-05,1.02,1.34,31.3,Beat
VFC,2020-10-16,0.51,0.67,31.3,Beat
MAS,2020-10-28,0.79,1.04,31.6,Beat
PNFP,2020-10-20,1.1,1.45,31.8,Beat
EQT,2020-10-22,-0.22,-0.15,31.8,Beat
JBLU,2020-10-27,-1.91,-1.75,8.3,Meet
HRC,2020-11-06,1.08,1.17,8.3,Meet
STLD,2020-10-19,0.47,0.51,8.5,Meet
ANET,2020-11-02,2.23,2.42,8.5,Meet
MRCY,2020-11-03,0.47,0.51,8.5,Meet
SCHW,2020-10-15,0.47,0.51,8.5,Meet
ULTA,2020-12-03,1.51,1.64,8.6,Meet
EXP,2020-10-29,1.86,2.02,8.6,Meet
CSGP,2020-10-27,2.08,2.26,8.6,Meet
WBS,2020-10-22,0.69,0.75,8.7,Meet
HSY,2020-11-06,1.71,1.86,8.7,Meet
AM,2020-10-28,0.23,0.25,8.7,Meet
NEM,2020-10-29,0.79,0.86,8.8,Meet
HPE,2020-12-01,0.34,0.37,8.8,Meet
AMP,2020-10-28,1.35,1.47,8.8,Meet
ABT,2020-10-21,0.9,0.98,8.8,Meet
WSO,2020-10-22,2.53,2.76,9,Meet
NUS,2020-11-04,0.99,1.08,9,Meet
VRSK,2020-11-04,1.21,1.32,9,Meet
NLOK,2020-11-05,0.33,0.36,9,Meet
ADI,2020-11-24,1.32,1.44,9,Meet
ARD,2020-10-22,0.44,0.48,9,Meet
DNB,2020-11-05,0.22,0.24,9,Meet
LIN,2020-11-05,1.97,2.15,9.1,Meet
CMG,2020-10-21,3.44,3.76,9.3,Meet
ADSK,2020-11-24,0.95,1.04,9.4,Meet
BMY,2020-11-05,1.49,1.63,9.4,Meet
GWW,2020-10-22,4.13,4.52,9.4,Meet
SLGN,2020-10-21,0.95,1.04,9.4,Meet
VIAC,2020-11-06,0.83,0.91,9.6,Meet
MKSI,2020-10-27,1.76,1.93,9.6,Meet
LRCX,2020-10-21,5.17,5.67,9.6,Meet
BIIB,2020-10-21,8.06,8.84,9.6,Meet
MCHP,2020-11-05,1.42,1.56,9.8,Meet
REYN,2020-11-11,0.51,0.56,9.8,Meet
COST,2020-09-24,2.85,3.13,9.8,Meet
THG,2020-10-27,2.24,2.46,9.8,Meet
STZ,2020-10-01,2.51,2.76,9.9,Meet
FMC,2020-11-02,1.11,1.22,9.9,Meet
ESI,2020-10-27,0.2,0.22,10,Meet
SSNC,2020-10-28,1,1.1,10,Meet
PD,2020-12-03,-0.1,-0.09,10,Meet
WRI,2020-10-29,0.4,0.44,10,Meet
GPC,2020-10-22,1.48,1.63,10.1,Meet
KLAC,2020-10-28,2.75,3.03,10.1,Meet
TFC,2020-10-15,0.88,0.97,10.2,Meet
IVZ,2020-10-27,0.48,0.53,10.4,Meet
VRTX,2020-10-29,2.39,2.64,10.4,Meet
JNJ,2020-10-13,1.99,2.2,10.5,Meet
WEC,2020-11-03,0.76,0.84,10.5,Meet
NFLX,2020-10-20,2.13,1.74,-18.3,Miss
HRB,2020-12-08,-0.93,-1.09,-17.2,Miss
SPOT,2020-10-29,-0.58,-0.68,-17.2,Miss
TFSL,2020-10-29,0.06,0.05,-16.6,Miss
VOYA,2020-11-04,1.41,1.19,-15.6,Miss
LVS,2020-10-21,-0.58,-0.67,-15.5,Miss
LYV,2020-11-05,-2.12,-2.45,-15.5,Miss
MSA,2020-10-28,1.1,0.94,-14.5,Miss
RCL,2020-10-29,-4.92,-5.62,-14.2,Miss
SMG,2020-11-04,0.07,0.06,-14.2,Miss
RE,2020-10-29,2.81,2.42,-13.8,Miss
GPS,2020-11-24,0.29,0.25,-13.7,Miss
MCY,2020-11-03,1.42,1.23,-13.3,Miss
SYF,2020-10-20,0.83,0.72,-13.2,Miss
ALK,2020-10-22,-2.86,-3.23,-12.9,Miss
ARMK,2020-11-17,-0.31,-0.35,-12.9,Miss
LLY,2020-10-27,1.76,1.54,-12.5,Miss
TNDM,2020-11-05,-0.08,-0.09,-12.5,Miss
PCG,2020-10-29,0.25,0.22,-12,Miss
WTRG,2020-11-03,0.26,0.23,-11.5,Miss
SRE,2020-11-05,1.47,1.31,-10.8,Miss
DPZ,2020-10-08,2.75,2.49,-9.4,Miss
